OutTemp,RoomTemp,HeatState,HeatStateSince,StartTemp
-14.3,20.1,True,57.0,20.2
-14.3,20.1,True,67.0,20.2
-14.3,20.1,True,67.0,20.2
-14.2,20.1,True,70.0,20.2
-14.1,20.1,True,77.0,20.2
-14.1,20.1,True,78.0,20.2
-14.0,20.1,True,81.0,20.2
-14.1,20.1,True,87.0,20.2
-14.1,20.0,True,97.0,20.2
-14.1,20.1,True,101.0,20.2
-14.0,20.1,True,106.0,20.2
-13.8,20.1,True,107.0,20.2
-13.8,20.1,True,110.0,20.2
-13.7,20.1,True,113.0,20.2
-13.6,20.1,True,117.0,20.2
-10.2,21.9,True,0.0,21.9
-10.3,21.9,True,5.0,21.9
-10.4,21.9,True,6.0,21.9
-10.4,21.8,True,10.0,21.9
-10.5,21.8,True,16.0,21.9
-10.5,21.8,True,20.0,21.9
-10.6,21.8,True,26.0,21.9
-10.6,21.8,True,33.0,21.9
-10.7,21.8,True,36.0,21.9
-11.8,19.6,True,0.0,19.6
-11.8,19.6,True,6.0,19.6
-11.7,19.6,True,10.0,19.6
-11.7,19.6,True,11.0,19.6
-11.6,19.6,True,13.0,19.6
-11.7,19.6,True,20.0,19.6
-11.7,19.6,True,30.0,19.6
-11.7,19.6,True,32.0,19.6
-11.8,19.6,True,36.0,19.6
-11.7,19.6,True,39.0,19.6
-11.8,19.6,True,40.0,19.6
-11.8,19.5,True,49.0,19.6
-11.9,19.5,True,50.0,19.6
-11.9,19.5,True,60.0,19.6
-11.9,19.5,True,70.0,19.6
-11.9,19.5,True,74.0,19.6
-12.0,19.5,True,80.0,19.6
-12.0,19.5,True,80.0,19.6
-11.9,19.5,True,82.0,19.6
-12.0,19.5,True,84.0,19.6
-11.9,19.5,True,87.0,19.6
-12.0,19.6,True,89.0,19.6
-11.9,19.6,True,90.0,19.6
-11.9,19.6,True,100.0,19.6
-11.9,19.6,True,102.0,19.6
-11.8,19.6,True,107.0,19.6
-11.7,19.6,True,110.0,19.6
-7.2,21.9,True,529.0,20.0
-7.3,22.0,True,534.0,20.0
-7.4,22.0,True,539.0,20.0
-7.4,22.0,True,539.0,20.0
-7.5,22.0,True,549.0,20.0
-7.5,22.0,True,552.0,20.0
-7.6,22.1,True,554.0,20.0
-7.7,22.1,True,559.0,20.0
-7.7,22.1,True,559.0,20.0
-7.8,22.2,True,569.0,20.0
-8.6,20.1,True,0.0,20.1
-8.6,20.1,True,10.0,20.1
-8.6,20.1,True,20.0,20.1
-8.6,20.0,True,30.0,20.1
-8.6,20.0,True,35.0,20.1
-8.7,20.0,True,40.0,20.1
-8.7,20.0,True,40.0,20.1
-8.6,20.0,True,45.0,20.1
-8.5,20.0,True,48.0,20.1
-8.6,20.0,True,50.0,20.1
-8.6,20.0,True,55.0,20.1
-8.5,20.0,True,60.0,20.1
-8.5,20.0,True,66.0,20.1
-8.4,20.0,True,69.0,20.1
-8.5,20.0,True,70.0,20.1
-8.5,20.0,True,71.0,20.1
-8.4,20.0,True,75.0,20.1
-8.5,20.0,True,78.0,20.1
-8.4,20.0,True,80.0,20.1
-8.4,20.0,True,83.0,20.1
-8.3,20.0,True,86.0,20.1
-8.4,20.0,True,89.0,20.1
-8.3,20.0,True,90.0,20.1
-8.3,20.1,True,94.0,20.1
-8.4,20.1,True,96.0,20.1
-8.3,20.0,True,100.0,20.1
-8.3,20.1,True,110.0,20.1
-8.3,20.1,True,114.0,20.1
-8.2,20.1,True,116.0,20.1
-8.3,20.1,True,120.0,20.1
-8.3,20.1,True,126.0,20.1
-8.2,20.1,True,128.0,20.1
-3.9,20.4,True,0.0,20.4
-3.9,20.3,True,3.0,20.4
-3.8,20.3,True,10.0,20.4
-3.8,20.3,True,11.0,20.4
-3.9,20.3,True,16.0,20.4
-3.8,20.3,True,18.0,20.4
-3.9,20.3,True,20.0,20.4
-3.9,20.3,True,24.0,20.4
-3.8,20.3,True,30.0,20.4
-3.8,20.3,True,31.0,20.4
-3.9,20.3,True,37.0,20.4
-3.8,20.2,True,40.0,20.4
-3.8,20.2,True,41.0,20.4
-3.9,20.3,True,44.0,20.4
-3.8,20.3,True,47.0,20.4
-3.9,20.3,True,50.0,20.4
